csv_name,csv_unit,csv_barcode,status,match_score,product_id,product_code,product_name,system_barcode,has_barcode_in_system
กล่องกลม Z 1500,แพ็ค,8859368800904,exact,1,330,PRD158,กล่องกลม Z 1500,,no
ถ้วยน้ำจิ้ม 1 Oz.,แพ็ค,8859350501819,exact,1,559,PRD360,ถ้วยน้ำจิ้ม 1 OZ,,no
ถุงร้อน3*5,แพ็ค,8858667400082,exact,1,354,PRD182,ถุงร้อน3*5,,no
ถุงร้อน4.5*6.5,แพ็ค,8858667400174,exact,1,355,PRD183,ถุงร้อน4.5*6.5,,no
ถุงร้อน5*8,แพ็ค,8858667400204,exact,1,356,PRD184,ถุงร้อน5*8,,no
ถุงร้อน 6*10,แพ็ค,8858667400242,exact,1,352,PRD180,ถุงร้อน 6*10,,no
ถุงร้อน 7*11,แพ็ค,8858667400280,exact,1,353,PRD181,ถุงร้อน 7*11,,no
ถุงร้อน 6*9,แพ็ค,8858667400235,similar,0.824,352,PRD180,ถุงร้อน 6*10,,no
ถุงหิ้ว 6*14,แพ็ค,8858805247494,exact,1,358,PRD186,ถุงหิ้ว 6*14,,no
ถุงหิ้ว 8*16,แพ็ค,8858805247517,exact,1,359,PRD187,ถุงหิ้ว 8*16,,no
ถุงหิ้ว 9*18,แพ็ค,8858805247524,similar,0.667,358,PRD186,ถุงหิ้ว 6*14,,no
ถุงหิ้ว 12*20,แพ็ค,8858805247531,exact,1,357,PRD185,ถุงหิ้ว 12*20,,no
ถุงไฮเดน 5*8,แพ็ค,8858817012219,exact,1,713,PRD492,ถุงไฮเดน 5*8,,no
ถุงไฮเดน6*9,แพ็ค,8858817012233,similar,0.842,717,PRD496,ถุงไฮเดน 6*10,,no
ถุงไฮเดน 7*11,แพ็ค,8858817012257,exact,1,714,PRD493,ถุงไฮเดน 7*11,,no
ถุงไฮเดน 8*12,แพ็ค,8858817012264,exact,1,715,PRD494,ถุงไฮเดน 8*12,,no
ถุงไฮเดน 9*14,แพ็ค,8858667404257,similar,0.762,716,PRD495,ถุงไฮเดน 14*22,,no
ถุงไฮเดน 9*18,แพ็ค,,similar,0.737,713,PRD492,ถุงไฮเดน 5*8,,no
ถุงไฮเดน 10*15,แพ็ค,,similar,0.762,717,PRD496,ถุงไฮเดน 6*10,,no
ถุงไฮเดน 14*22,แพ็ค,8858817012301,exact,1,716,PRD495,ถุงไฮเดน 14*22,,no
ถุงไฮเดน16*26,แพ็ค,8858817012363,similar,0.727,716,PRD495,ถุงไฮเดน 14*22,,no
ถุงไฮเดน 12*24,แพ็ค,,similar,0.818,716,PRD495,ถุงไฮเดน 14*22,,no
ถุงขยะ24*28,แพ็ค,888500024X28,similar,0.778,349,PRD177,ถุงขยะ28*36,,no
ถุงขยะ28*36,แพ็ค,888500028X36,exact,1,349,PRD177,ถุงขยะ28*36,,no
ถุงขยะเล็ก สีม่วง,แพ็ค,8851079003728,similar,0.92,350,PRD178,ถุงขยะเล็ก สี,,no
นมข้นหวาน,ถุง,8858705614785,exact,1,415,PRD237,นมข้นหวาน,,no
นมจืด คาเนชั่น,กระป๋อง,8850124018205,exact,1,360,PRD188,นมจืด คาเนชั่น,,no
น้ำเชื่อม,ถุง,8850256000703,exact,1,642,PRD421,น้ำเชื่อม,,no
แก้วกาแฟ ร้อน,แถว,8859356501653,similar,0.636,673,PRD452,แก้วกาแฟ 16 OZ,,no
ก๊าซวิปครีม,กล่อง,8859607300011,similar,0.7,643,PRD422,แก๊สวิปครีม,,no
ครีมหอมนมสด,ถุง,8859202001337,exact,1,625,PRD404,ครีมหอมนมสด,,no
คอริฟิน,ถุง,8850172132038,similar,0.92,724,PRD503,คอริฟินซี (ลูกอม),,no
ชากุหลาบ,ถุง,8850370420319,similar,0.667,577,PRD378,ดอกกุหลาบ,,no
เฮลบลูบอย แดง,ขวด,8850423000093,similar,0.696,719,PRD498,น้ำแดงเฮลูบอย,,no
สตอเบอรี่ติ่งฟง,ขวด,8858732821026,similar,0.774,636,PRD415,ติ่งฟงสตรอเบอร์รี่,,no
ส้มติ่งฟง,ขวด,8858732821521,similar,0.875,637,PRD416,ติ่งฟงส้ม,,no
มะม่วง ติ่งฟง,ขวด,8858732821972,similar,0.909,641,PRD420,ติ่งฟง มะม่วง,,no
ไซรัป มะพร้าว,ขวด,8850256526081,similar,0.92,493,PRD294,มะพร้าว,,no
Malee มะพร้าว,กล่อง,8853333017571,similar,0.92,493,PRD294,มะพร้าว,,no
โค้ก,แพ็ค,8851959132012,similar,0.92,583,BEV_COCA_COLA,Coca-Cola #โค้ก,,no
โค้กซีโร่,ถุาด,8851959232071,similar,0.92,584,BEV_COCA_COLA_02,Coca-Cola #โค้กซีโร่,,no
Chang Classic,ลัง,8851993616059,exact,1,589,BEV_CHANG_CLASSIC,Chang #Classic,,no
Singha,ลัง,8850999111018,exact,1,590,BEV_SINGHA,Singha,,no
Hineken,ลัง,8850571920120,exact,1,591,BEV_HINEKEN,Hineken,,no
Leo,ลัง,8850999141015,exact,1,592,BEV_LEO,LEO,,no
แสงโสม,ขวด,8851707000181,exact,1,596,BEV_ITEM_05,แสงโสม,,no
รีเจนซี่ 350 ml,แบน,8858820900022,exact,1,598,BEV_350_ML,รีเจนซี่ 350 ml.,,no
ไวน์ SPY Red,กล่อง,8850382330002,similar,0.92,599,BEV_SPY_RED,Spy #Red,,no
ไวน์ SPY Classic,กล่อง,8850382130008,similar,0.92,600,BEV_SPY_CLASSIC,Spy #Classic,,no
มิกเซอร์ โซดาสิงห์,แพ็ค,8850999220024,similar,0.92,601,BEV_ITEM_06,โซดา #สิงห์,,no
สติ๊กเกอร์ A9,แพ็ค,8851552794051,similar,0.72,275,STORE_KK_050,สติ๊กเกอร์โลโก้,,no
กาวดักแมลงวัน *50,แพ็ค,8858786256416,similar,0.8,278,STORE_KK_053,กาวดักแมงวัน,,no
