รายการ,หน่วย,บาร์โค้ด
ส้มติ่งฟง,ขวด,8858732821521
มะม่วง ติ่งฟง,ขวด,8858732821972
ไซรัป สตอว์เบอร์รี่,ขวด,
ไซรัป มะพร้าว,ขวด,8850256526081
ไซรัป พีช,ขวด,8850256526401
ไซรัป ลิ้นจี่,ขวด,8850256526111
ไซรัป แอปเปิ้ล โมนิน,ขวด,3052910015107
Sunquick ผลไม้รวม,ขวด,8850332501101
Sunquick ส้ม,ขวด,8850332501070
Malee ส้มสายน้ำผึ้ง,กล่อง,8853333013580
Malee มะพร้าว,กล่อง,8853333017571
โค้ก,แพ็ค,8851959132012
โค้กซีโร่,ถุาด,8851959232071
Chang Cobu Beer,ลัง,8851993716056
Chang Classic,ลัง,8851993616059
Singha,ลัง,8850999111018
Hineken,ลัง,8850571920120
Leo,ลัง,8850999141015
แสงโสม,ขวด,8851707000181
รีเจนซี่ 350 ml,แบน,8858820900022
ไวน์ SPY Red,กล่อง,8850382330002
ไวน์ SPY Classic,กล่อง,8850382130008
มิกเซอร์ โซดาสิงห์,แพ็ค,8850999220024
กลิ่นวนิลา,ขวด,03-138
สติ๊กเกอร์ A9,แพ็ค,8851552794051
พลาสเตอร์ยา แปะแผล ไทเกอร์,กล่อง,8850672230128
ก้อนน้ำหอม Ambi pur,แพ็ค,4902430694124
ร่มแต่งจาน,กล่อง,8850723716731
อาท ยาฉีดมด,แพ็ค,8850273107034
กาวดักแมลงวัน *50,แพ็ค,8858786256416
